title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
"Avoid, you may lose your money because of some arbitrary policy or the othet",Safari04200177084,Bangkok - New Delhi,"Whatever you do avoid this airline. Due to a mishap I missed the first leg of my flight but accepted that loss and booked a one way expecting to be able to catch the return since, well simply I paid for it. However without any notification the airline simply cancelled my ticket including the return leg based on some policy. The least one can expect having paid for a round trip is to be notified. Further, as early as the morning of my return trip, I received text messages regarding check in, further indicating I would be on the return flight. So in addition to a lack of notification, they also affirmatively indicated that I was to be on the return flight. However in arriving at the airport I was told my ticket had been cancelled altogether and I was left stranded in a foreign country forced to pay for a last minute fare on indigo, which I may add unlike vistara, had excellent and helpful staff. Disgusting experience both in terms of the policy and the lack of notification as well as positive messages indicating the opposite",Asia,1.0,September 2024,30 September 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000000 rating,Umar K,New Delhi - Hyderabad,"Me and my friend  was traveling from delhi to hyderabad we paid for priority check in one guy from vistara staff he was clean shave looking like a uneducated or ignorant he does not know how to talk to with custmore we told him lot of time and we showed me the screenshot of the payment and he does not now english he was groundstaff  worst experience with the check in today he was like ready to  fight with us then i went to desk the desk people told us ur in the pripority like and he just got keep queit  so is this the way you give training to visatara staff and he was having air india id card also i dont know what you people are doing 
He was not neat atleast give me them some perfume vistara no neatness as welll",Domestic,1.0,September 2024,29 September 2024,N/A,N/A,N/A,N/A,N/A,N/A,1.0,N/A
Inhuman behaviour,GoPlaces19696893615,Mumbai - Ahmedabad,"Worst experience ever. Cannot check in online and also on counter . 
Whoever value their money and peace should never book vistara. Delay it okay but no to scammer",Domestic,1.0,September 2024,29 September 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Worst coustomer care services paid money for their mistakes,rasika t,Kathmandu - New Delhi,"I had a very disappointing experience with Vistara's customer service during my recent journey. When I called to inquire about extra baggage charges, the representative provided confusing and inaccurate information. I was told that upgrading to premium economy would increase my baggage allowance, but this was not the case. I ended up paying an additional NPR 23,000 due to their mistakes.

The customer service was frustrating; I spent two hours trying to get assistance, with long hold times and no meaningful help. It seems the agents lack proper training and knowledge. Overall, the experience was extremely frustrating and has left me with a negative impression of Vistara.",Asia,2.0,September 2024,26 September 2024,1.0,1.0,1.0,N/A,1.0,5.0,5.0,2.0
Extremely poor customer service,Blossom F,New Delhi - London,"I recently and for the first time travelled to and from India by Air Vistara. From London to Delhi, I had upgraded to business and I could not fault their services and facilities. They offered me the service that I would expect as a business class customer. However, I had a complete opposite experience on the return journey (24/09/2024) where I travelled via economy class. 
Starting from the boarding, there was no system. Although they were announcing rows  and who should board when, they allowed people to board at random. The service provided by the air hostess (Preeti) was appalling. I understand the flight was very busy but I believe that is what they are trained for and paid for. There was no smile, no pleasantness in her demeanour, just a very stern, aggressive, tired look. It just felt like she was doing a favour whenever anyone asked her for something. Air hostess normally ask what we want for drink or food. She did not. It was left up to us to request something when we saw her coming with the trolley. She forgot to serve drinks to some people. 
The food was good quality and we arrived on time which was positive. But I would avoid flying with them simply because of their customer service.",International,2.0,September 2024,25 September 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Meri Aaj k flight thi 6.30 am k jo k Delhi to ahmedabad thi..jo k visata staff k bajah se miss hui..I want refund....,Trek09415459589,New Delhi - Ahmedabad,"Today 24.9.2024 .my booking Delhi to Ahmedabad..flight timing 6.30 am  .m reached airport correct 5am ..before 1.30 hours ..
Visatara flight staff take more time to shifted my  luggage .take 1 hours when I saw that my flight 6.30 then vistara staff tell me that your flight missing .he tell me 5.35 am ...my experience is verry bed ....",Domestic,1.0,September 2024,24 September 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lost Baggage,INDRAJITH SRIPA... R,Paris - Colombo,"Hi
It has been almost three months since my bags with valuables and documents were lost.  So far there is no news about it, I have sent several requests by email for compensation. But till today there is no news about it.
Don't use this irresponsible airline",International,3.0,July 2024,22 September 2024,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0
Pathetic Customer Service and Staff were so rude.,SACHIN C,New Delhi - Abu Dhabi,"Me and my friend booked ticket through make my trip round way from Abu Dhabi to Delhi and Delhi to Abu Dhabi.
Today our flight was at 17:50 from Delhi to Mumbai and we arrived the airport at 5 PM and just because of staff lack of awareness and not assisting us properly we ended up missing our flight.

Despite our repeated requests for assistance,  noone provided adequate help, leaving us feeling disrespected and ignored. Specifically the staff were very rude and ignorant,we urge each and everyone but noone helped us.

It was not expected from Vistara calling itself India’s number one airlines.

I would like to mention some name from Delhi Airport of Vistara they didn’t even take any initiative to help us especially Tarun was talking to someone and later he hide himself and came later when time is up and Payal and Aditya was talking very rudely and loudly.

The behavior of your staff was unprofessional, and their attitude was dismissive.we were shocked and disappointed by the lack of empathy and understanding.

Overall our experience was pathetic and would never recommend Vistara to others.",International,4.0,September 2024,22 September 2024,N/A,5.0,4.0,1.0,4.0,4.0,1.0,4.0
Worst Company in the world,Matteo C,New Delhi - Male,"DO NOT FLY WITH VISTARA, worst air Company ever, we had an issue with the passport and we hard to deal with pure criminal attitude, lying to my mother in law while we had to spend a night detained in the Airport, they made her pay our fee while we were ready to pay, they are the worst people I've ever met in my Life, I wish them all the worse. 
To finish, disgusting food on the flights.

We sere kinda saved by the Maldives Airport Police Who really helped us but VISTARA ONLY WANTS YOUR MONEY, WATCH OUT FOR THESE DESPICABLE INDIVIDUALS.",Asia,1.0,September 2024,22 September 2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Poor customer service with Vistara,Shreedhar B,Bhubaneswar - Mumbai,A very frustrating flight experience with Vistara. They are allowing big bags inside the aircraft and I was penalised with big instructions and made me to go through a drama of check in for my bag which is 1 kg more than 7 kg. They do injustice by making some go through these harassing situations. The airport check in crew is very poor in customer service. Be prepared yourself if you have chosen Vistara,Domestic,1.0,September 2024,22 September 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
