title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
Cancellation inconvenience from airlines,ekta s,Chennai (Madras) - New Delhi,I wonder why we play huge cancellation charges when we cancel a flight but airlines cancel flights at their will with a short message apologizing for the inconvenience caused. Why are they not liable to pay cancellation and inconvenience charges to the customer #airlinegrievance #cancelledflight,Domestic,1.0,January 2025,22 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delay in flight,Navigate46086341282,Ahmedabad - New Delhi,"Very poor, flight delay by almost 2 hours not recommended for Spicejet, always late.
better to book another options for flight",Domestic,1.0,January 2025,22 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bad experience,kinzang o,Bengaluru - New Delhi,"worst experience ever……
staff are very rude….
and the plane is very dirty…….
i recommend never to choose this flight…….",Domestic,1.0,January 2025,22 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nice experience with spice jet,Camper39702077468,New Delhi - Shirdi,It was great journey with spice jet. Staff is helpful. Reached within time. Sitting arrangement should be improved for neck rest,Domestic,5.0,January 2025,22 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Worst Experience of my lIfe,Trek22378360305,Dubai - Amritsar,"I recently traveled with this airline and had a terrible experience from start to finish. The flight was delayed by 2 hours, and after finally boarding, passengers were made to wait for an additional hour inside the plane. The boarding process was chaotic and disorganized, making the entire situation frustrating from the very beginning.

Once on the plane, the seats were uncomfortable, and the cleanliness was appalling. It was clear that the cabin had not been properly cleaned prior to boarding.

To make matters worse, after landing, my luggage was missing. The airline staff informed us that it had been left behind, but they couldn't provide any clear timeline for when it would be returned. When I asked for more details, the staff was unhelpful and vague, giving me a range of ""maybe"" dates with no firm commitment.

The staff's attitude was the most concerning. They were rude and dismissive when I inquired about the delay and the missing luggage. One staff member even told me, ""I can see the weather, don't disturb us."" It felt as though the staff had no regard for passengers' concerns and were simply going through the motions without any genuine care for the guests.

This experience has left me extremely disappointed. I would strongly advise others to consider other options when booking a flight with this airline. There is a serious lack of professionalism and customer care.",International,1.0,January 2025,22 January 2025,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
Sky circus,John hudson,Ahmedabad - Goa,"Honestly one of the the worst airline experiences ive everhad. They manage to cancel a single flight multiple times. Terrible customer service. Especially from the manager pooja. Would highly recommend anyone considering using this airline either find another one, book a bus, or walk. Better to get some exercise than to fund these bunch of incompetent clowns",Domestic,1.0,January 2025,21 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Good experience,Voyage30688927937,Dubai - Madurai,The flight was on time and comfortable this time. It would be great if there are more ready to eat meal options in the flight,International,3.0,January 2025,19 January 2025,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0
Checking extra weight 650 per kg,Go17175261639,Bengaluru - New Delhi,2 kg xtra cabin bag rs1300 taken by sj just before bording...I told that I don't have single checkin bag ...staff warn us ...if you not pay luggage charges will not allow to bord on flight...  more 15000 collected from many passengers ...worst,Domestic,1.0,December 2024,19 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Best Service by Cabin Crew,Nikhil A Gundawar,Mumbai - New Delhi,"Cabin crew was approachable, polite, communicated delay in service with logical reason and provided support to address customised requirement.",Domestic,5.0,January 2025,19 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Best experience,Maps53201755681,Hyderabad - Tirupati,Luggage services are too good. The way spicejet person tagged my essential goods as priority is well appreciated. Thank you,Domestic,5.0,January 2025,18 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
